Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
C8-pos_Cluster_1640,8.847801,698.571135,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1644,10.129893,699.588472,#N/A,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1645,11.936011,699.602251,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1646,12.129549,699.604857,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1648,10.119022,701.589503,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1649,10.403312,701.604618,#N/A,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1650,10.605530,701.602563,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1651,4.909879,701.568854,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1653,12.342414,701.620599,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1654,12.466707,701.620807,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1655,7.173285,702.212600,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1656,10.481100,702.652664,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1658,10.641419,703.611850,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1659,12.608221,703.635432,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1660,6.133840,703.482906,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1661,4.916365,703.583925,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1663,9.549865,704.605441,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1664,11.582804,704.633395,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1665,8.236764,705.591001,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1666,9.009841,705.570913,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1667,10.067853,705.552655,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1669,10.969235,705.613959,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1670,7.452444,705.577874,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1672,9.555266,706.632082,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1673,11.258479,706.648755,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1674,11.872835,706.649779,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1676,8.092451,707.562589,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1677,8.548353,707.587138,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1678,10.940323,707.626979,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1679,4.532793,708.426369,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1680,8.257454,708.463596,#N/A,Phosphatidylethanolamines,#N/A,#N/A
C8-pos_Cluster_1681,5.478040,709.392516,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1683,8.994956,709.502720,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1684,10.986093,709.593993,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1686,4.044001,710.442655,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1687,7.271608,710.531196,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1688,9.282359,711.514189,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1689,10.253858,711.575603,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1690,4.372746,711.515533,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1692,11.873058,711.607233,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1694,6.382948,712.414269,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1695,7.685896,712.551307,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1696,7.963975,712.549740,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1697,11.536192,713.616107,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1698,12.197195,713.620793,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1699,4.364673,713.531727,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1700,7.157209,714.591035,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1702,8.139178,714.553403,#N/A,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1703,8.323099,714.563607,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1705,5.479456,715.407609,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1706,8.844064,715.595829,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1707,11.818776,715.635877,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1708,12.119061,715.584625,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1709,7.352289,716.569004,#N/A,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1710,7.415424,716.558565,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1711,7.742719,716.566438,#N/A,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1713,10.444555,717.600274,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_1714,10.874462,717.630862,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1716,7.784073,718.541999,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1717,7.948345,718.574349,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1718,8.495687,718.555939,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1723,10.034107,719.595433,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1724,11.062966,719.630780,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1725,11.161371,719.630358,#N/A,Cholesteryl esters,#N/A,#N/A
C8-pos_Cluster_1729,12.095884,720.660614,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1730,7.710490,721.575255,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1731,9.058724,721.592346,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1735,11.126382,721.645178,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1738,10.770660,722.653219,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1739,12.401819,722.678026,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1740,7.689856,723.539047,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1741,11.795708,723.604497,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1744,10.799386,724.678703,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1746,12.092939,725.621056,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1747,8.237938,727.573235,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1748,10.540005,727.619547,#N/A,"1,2-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1749,11.872686,727.578471,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1750,12.414665,727.636086,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1751,8.004678,728.527347,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1752,7.227078,729.576901,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1753,9.822567,729.613496,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1754,10.799443,729.634529,#N/A,"1,3-diacylglycerols",#N/A,#N/A
C8-pos_Cluster_1756,11.944822,730.716860,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1759,13.049572,731.667156,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1760,7.287408,732.546000,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1762,8.835898,732.597693,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1763,10.448302,733.579669,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1765,7.215678,734.538797,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1766,7.512325,734.576595,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1767,7.702056,734.535320,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1769,4.367975,735.514267,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1773,5.206559,735.573222,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1774,5.294330,735.573647,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1775,2.829674,736.433199,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1776,7.522067,736.533550,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1777,8.843783,737.554303,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1778,10.688228,737.599894,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1779,5.309438,737.588748,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1781,10.560048,738.661019,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1782,4.882536,739.547858,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1783,5.719991,739.605490,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1784,10.754450,739.542677,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1786,2.598302,740.465055,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1787,2.912068,740.464813,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1788,7.453023,740.522966,#N/A,Phosphatidylethanolamines,#N/A,#N/A
C8-pos_Cluster_1789,7.952620,740.566097,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1792,10.292587,741.602823,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1794,7.752398,742.538992,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1796,10.294452,742.575837,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1797,8.646481,744.588262,#N/A,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1798,9.875607,745.608407,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1801,8.498641,747.586570,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1802,9.238933,748.610458,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1805,7.707824,750.547957,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1807,8.552254,753.580714,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1808,7.294991,754.546100,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1809,7.848597,754.556001,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1810,11.020216,755.598893,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1815,9.903355,758.221885,#N/A,Flavonoids,#N/A,#N/A
C8-pos_Cluster_1818,13.540713,759.697779,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1819,8.645962,760.199791,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1820,9.902397,760.220214,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1822,5.681704,761.422670,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1824,8.644179,762.198807,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1825,9.899378,762.218131,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1827,10.316240,762.693738,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1828,5.279030,763.407558,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1829,8.048653,764.562519,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1830,8.959427,764.573085,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1831,6.133493,765.453488,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1832,9.263793,765.584201,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1834,8.414774,766.562320,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1836,11.306789,766.648746,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1840,12.318318,767.724988,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1841,4.358012,767.582227,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1843,12.319927,768.225708,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1847,9.928496,768.666517,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1850,6.133644,771.472105,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1851,11.306923,771.603890,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1859,9.928801,773.620870,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1862,8.679834,774.599945,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1863,9.101588,774.571743,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1864,9.359335,775.641658,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1865,4.748121,775.585231,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1866,7.866510,776.231930,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1869,7.865567,778.230419,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1870,8.685320,779.571255,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1871,8.337407,780.549694,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1875,8.640636,782.566046,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1877,5.480678,783.395875,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1878,6.187902,784.478920,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1881,9.585290,784.655096,#N/A,Sphingolipids,#N/A,#N/A
C8-pos_Cluster_1882,4.358224,785.593462,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1887,10.726931,787.578185,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1891,9.583887,789.622188,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1892,9.930124,789.593737,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1893,10.831086,789.593206,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1896,9.083884,790.612176,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1897,7.737382,791.615470,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1898,9.177112,791.602033,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1901,8.557287,792.593586,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1908,7.217680,795.699413,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1910,10.873363,795.630865,#N/A,Ubiquinones,#N/A,#N/A
C8-pos_Cluster_1913,7.626533,797.517523,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1914,4.748572,797.566380,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1916,6.166508,797.663239,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1917,12.104733,797.736091,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1919,6.405714,798.495912,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1920,5.892949,798.587559,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1921,7.928033,799.533647,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1923,6.175143,799.678251,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1925,6.120193,800.603097,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1926,6.583186,800.512762,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1928,7.026818,801.551841,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1929,8.232782,801.554329,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1933,9.316177,802.670837,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_1935,4.357430,802.618636,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1936,5.902326,803.542205,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1937,9.906822,803.598166,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1938,9.017298,804.582233,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1939,12.711942,805.235082,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1941,8.825128,805.584156,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1943,11.340924,805.661370,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1944,10.090815,805.683369,#N/A,Polyprenylphenols,#N/A,#N/A
C8-pos_Cluster_1945,12.711758,805.735134,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1946,8.495995,806.567673,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1948,7.028350,806.508365,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1949,9.154418,807.628842,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1950,4.358790,807.574297,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1951,11.454493,807.604398,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1952,8.801452,808.581433,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1955,12.015943,809.735561,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1957,9.069935,810.599262,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_1958,6.269536,810.495089,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1959,6.450371,810.494410,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1962,12.296607,811.752210,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1964,6.642255,812.511281,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1967,12.611678,813.767741,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1968,6.825189,814.529891,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1969,10.325990,814.670481,#N/A,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",#N/A,#N/A
C8-pos_Cluster_1971,8.793090,816.617921,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1974,10.883756,818.613392,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1975,10.326692,819.626574,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1978,7.223983,820.532987,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1982,6.837618,822.504712,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1983,7.027862,822.480693,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1986,9.879001,823.639624,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1990,9.321879,824.659134,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1991,10.849452,824.752102,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1993,9.072140,824.661623,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1998,8.925356,828.522217,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1999,9.339302,828.686077,#N/A,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",#N/A,#N/A
C8-pos_Cluster_2000,4.360385,829.556483,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2002,10.870087,829.725875,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2005,4.358452,830.058040,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2006,9.070774,830.650835,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2007,9.732892,830.708773,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2008,5.282163,831.395019,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2009,12.263137,831.723571,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2010,10.471867,832.240248,#N/A,Flavonoids,#N/A,#N/A
C8-pos_Cluster_2012,9.215159,833.651223,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2013,9.236909,834.218820,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2014,10.471436,834.238307,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2015,7.477261,834.543620,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2017,5.680675,835.427866,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2018,9.164164,835.624540,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2020,9.908544,835.641715,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2021,9.389852,836.657954,#N/A,1-benzopyrans,#N/A,#N/A
C8-pos_Cluster_2024,10.045419,837.656967,#N/A,Stigmastanes and derivatives,#N/A,#N/A
C8-pos_Cluster_2025,12.381174,837.767459,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2026,8.462876,838.505649,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2027,8.808028,838.637213,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2028,9.522345,838.672936,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2029,6.135459,839.458402,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2031,8.373273,839.622391,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2032,11.513877,839.710247,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2033,12.685094,839.783731,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2034,4.356064,840.547299,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2035,8.964047,840.652917,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2036,10.755196,841.631636,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2037,10.868427,841.617027,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2038,13.138017,841.744257,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2039,13.137976,842.244090,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2041,9.018787,844.686303,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2042,9.247239,844.687517,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2043,11.857710,845.698146,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2044,3.762750,846.442600,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2045,9.385429,846.699252,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_2047,9.730941,847.643736,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2049,11.034648,847.765362,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2050,7.528323,847.730517,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2052,7.688271,848.564916,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2053,8.335906,848.537352,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2054,11.440677,848.760388,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2057,9.994545,849.659157,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2059,8.483933,850.250703,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2060,8.644516,850.554561,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2065,3.763869,851.397293,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2066,4.360516,851.537852,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2067,5.478392,851.638116,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2068,10.264770,851.674067,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2070,7.720252,851.761468,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2072,9.026463,852.652808,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2073,9.731587,852.690909,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2076,9.180014,854.669395,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2077,9.981763,854.698835,#N/A,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2080,11.531888,855.747764,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2082,12.229135,855.742998,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2084,11.296138,856.624582,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2085,9.906551,856.704390,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2086,5.478668,857.655384,#N/A,Phenylalanine and derivatives,#N/A,#N/A
C8-pos_Cluster_2087,11.777812,857.760214,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2090,11.367795,858.754869,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2091,9.646609,859.645585,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2092,9.767524,859.642680,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2095,10.422901,860.733151,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2097,9.899630,861.657482,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2098,11.202827,861.695045,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2100,10.774636,862.783804,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2101,10.862033,862.783445,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2103,10.164920,863.674138,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2104,11.359587,863.713321,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2106,8.874425,864.644126,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_2108,11.035154,864.800253,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2109,11.135039,864.799835,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2110,8.512441,865.636859,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2111,10.427589,865.692681,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2112,12.408793,865.762322,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2114,9.912158,866.703622,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2115,11.595327,866.733370,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2116,11.455122,867.694081,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2120,10.465525,869.721944,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2121,11.691458,869.703156,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2122,11.765678,869.735048,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2123,11.052703,870.748399,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2127,9.529839,871.571710,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2129,12.006095,871.747593,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2131,5.128136,872.369089,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2133,11.940004,872.735293,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2135,8.496552,874.555390,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2137,9.670156,875.629480,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2139,8.796013,876.569476,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2144,7.635292,878.620099,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2145,9.083446,878.586398,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2148,13.610405,879.254583,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2150,9.445080,880.683939,#N/A,Phosphatidylethanolamines,#N/A,#N/A
